用例ID,模块ID,模块名称,平台,检查点描述,UserStory,AcceptanceCriteria,前置条件,测试步骤,预期结果
LS001,LS-OPEN-001,开播,web,"主播可以从 Studio 正常开播","作为主播，我可以在 GETTR Studio 中一键开播，使观众可以立即看到我的直播。","From Studio open → Go Live ≤ 30s；观众端可见直播画面","已有有效 user_id，用户当前未在播，channel/session 参数合法","1. 打开 GETTR Studio 页面；2. 点击“Go Live”按钮；3. 观察 Studio 内的直播状态指示；4. 使用测试 Viewer 账户打开直播入口","1. /admin/live/start 接口返回 200，errcode=null，返回 post_id 且 is_live=true；2. Mongo cbx_live_info 新增记录，is_live=true，version=1，started_at 有值；3. user 文档 lv_pst=post_id，streaming.{post_id}=channel_id；4. 观众端可以看到直播画面"
LS002,LS-OPEN-USER-NOT-FOUND,开播,web,"用户不存在时无法开播",,,"Mongo 中无该 user_id","1. 调用 POST /admin/live/start 使用不存在的 user_id；2. 查询 Mongo/Redis","1. 接口返回 errcode=E_LIVE_USER_NOT_FOUND；2. cbx_live_info/Redis 不产生新的记录"
LS003,LS-OPEN-EXISTS,开播,web,"同一用户重复开播时只保留一个活动直播","作为系统，我需要阻止同一用户同时存在多场活动直播，以避免数据和体验混乱。","同一 user_id 在短时间内重复发起开播请求时，系统只允许一个 is_live=true 的直播存在。","为某 user_id 预先插入一条 is_live=true 的 cbx_live_info 记录","1. 使用已有活动直播的 user_id 调用 POST /admin/live/start；2. 查询 Mongo cbx_live_info 与 Redis 相关 key；3. 可选：多次重复发起开播请求","1. 接口返回 errcode=E_LIVE_POST_EXISTS，trace 中含 existing_post_id；2. 不产生新的直播记录，活动直播条目数量不增加；3. 多次请求后最终只存在一条 is_live=true 的记录"
LS010,LS-STOP-USER,停播,web,"仅通过 user_id 正常停播正在进行的直播","作为主播，我可以通过账号直接停止当前正在进行的直播。","当直播正常结束时，系统会将 is_live 标记为 false 并记录停止时间。","已有一条进行中的直播，且 only user_id 已知","1. 调用 POST /admin/live/stop，只传 user_id；2. 查询 Mongo cbx_live_info、user 文档与 Redis；3. 使用相同 user_id 再次调用 /admin/live/info","1. /admin/live/stop 返回 200，is_live=false，stopped_at 有值，viewers>=0；2. cbx_live_info 对应记录 is_live=false，stopped_at/viewers/version++；3. user 文档中 lv_pst 和 streaming.{post_id} 被 unset；4. Redis {post_id}.lv_info.is_live=false，活跃列表中移除该 post_id"
LS011,LS-STOP-NOT-ACTIVE,停播,web,"对已停播的直播再次停播不会破坏数据",,,"指定 post_id 的 cbx_live_info.is_live=false","1. 对已停播的 post_id 调用 POST /admin/live/stop；2. 查询 Mongo/Redis","1. 接口返回 errcode=E_LIVE_NOT_ACTIVE；2. 不改变已存在的 stopped_at/viewers 等字段；3. 数据保持第一次停播后的正确状态"
LS020,LS-INFO-LIVE,查询,web,"在播直播信息查询正确","作为观众/运营，我可以查询当前正在进行的直播状态。","在播直播可以被接口正确查询到，并返回一致的 viewers 等关键字段。","存在一条进行中的直播，post_id 已知","1. 调用 POST /admin/live/info，传当前 post_id；2. 对比 Mongo cbx_live_info 与 Redis {post_id}.lv_info","1. 接口返回 200，is_live=true，viewers>=0；2. 接口返回字段与 Redis {post_id}.lv_info/Mongo 保持一致（如 viewers、started_at 等）"
LS021,LS-INFO-NOT-FOUND,查询,web,"查询不存在的直播时返回统一错误",,,"不存在该 post_id 的 cbx_live_info","1. 调用 POST /admin/live/info，传一个不存在的 post_id","1. 接口返回 errcode=E_LIVE_POST_NOT_FOUND；2. HTTP 状态码与文档约定一致；3. 不修改任何现有数据"
LS030,LS-VOD-SUCCESS,VOD,web,"正常直播结束后 VOD 信息会在超时时间内成功写入",,"停播后约 60 秒入队 VOD 任务，VOD worker 能在 24 小时内完成并写入 mux_* 字段。","环境可访问 Mux，且可执行 mux-test*.sh；一场直播已完整跑完：开播→推流→停播","1. 使用 mux-test.sh 或 mux-test-api.sh 完整跑一场直播；2. 等待 VOD worker 完成（约 60 秒以上）；3. 查询 Mongo cbx_live_info 与 Redis {post_id}.lv_info","1. 停播后约 60 秒，日志中可见 VOD 任务入队和轮询记录；2. cbx_live_info 中写入正确的 mux_asset_id/mux_vod_id/duration/version++；3. Redis {post_id}.lv_info 中同字段同步更新"
LS031,LS-VOD-TIMEOUT,VOD,web,"Mux 长时间未准备就绪时系统最终放弃并给出告警",,,"通过配置/模拟使 Mux asset 长时间未 ready","1. 停播后不推流或让 Mux 不生成 asset；2. 观察 sync_mux 在 24 小时内的重试行为；3. 查看最终日志与 Mongo cbx_live_info","1. 每 60 秒重试一次，24 小时后放弃并记录 warning 日志；2. 不写入错误的 mux_* 字段，直播记录保持无 VOD 信息；3. Worker 不因单条异常而整体中断"
LS040,LS-ERR-CODES,错误码,web,"直播域相关错误码结构统一、可追踪","作为调用方，我可以依赖统一的错误响应结构进行调试和监控。","直播域所有错误响应均包含 errcode/errmesg/trace/results 字段结构，且 HTTP 状态码与文档一致。","可以触发各类错误码场景（如 用户不存在、直播不存在、并发冲突 等）","1. 分别触发代表性错误场景（如 用户不存在、直播不存在、乐观锁冲突 等）；2. 记录每次响应 JSON；3. 对比接口文档","1. 所有错误响应均包含 errcode/errmesg/trace/results 字段；2. HTTP 状态码与接口文档约定一致；3. trace 字段中包含可用于排查的关键信息"

